das Klassentreffen	επανένωση (παλιών συμμαθητών), reunion
der DJ, die DJs / die DJane, die DJanes	άνδρας/γυναίκα DJ
der Musikstil, die Musikstile	στιλ/είδος μουσικής
der Ticketshop, die Ticketshops	εκδοτήριο εισιτηρίων
die Isomatte, die Isomatten	ισοθερμικό στρώμα
die Regenjacke, die Regenjacken	αδιάβροχο
der Gummistiefel, die Gummistiefel	λαστιχένια μπότα
die Reiseapotheke, die Reiseapotheken	ταξιδιωτικό φαρμακείο
das Pflaster, die Pflaster	τσιρότο
die Kopfschmerztablette, die Kopfschmerztabletten	χάπι για τον πονοκέφαλο
der Verband, die Verbände	[εδώ!] επίδεσμος
das Wissen	γνώσεις
führen, er führt, er hat geführt	[εδώ!] κάνω, διεξάγω
sich freuen, er freut sich, er hat sich gefreut auf + Akk	χαίρομαι (για κάτι μελλοντικό)
sich freuen, er freut sich, er hat sich gefreut über + Akk	χαίρομαι (για κάτι τωρινό ή περασμένο)
die Galerie, die Galerien	γκαλερί, αίθουσα τέχνης
die Kulturarena	χώρος πολιτιστικών εκδηλώσεων
der Sänger, die Sänger / die Sängerin, die Sängerinnen	τραγουδιστής, τραγουδίστρια
die Konzerthalle, die Konzerthallen	αίθουσα συναυλιών
die Begeisterung	ενθουσιασμός
aus/drücken, er drückt aus, er hat ausgedrückt	εκφράζω
eben	[εδώ!] μόλις τώρα
die Umwelt	περιβάλλον
die Biene, die Bienen	μέλισσα
der Spinat	σπανάκι
das Radieschen, die Radieschen	ραπανάκι
die Frühlingszwiebel, die Frühlingszwiebeln	φρέσκο κρεμμυδάκι
der Weltumwelttag	παγκόσμια ημέρα για το περιβάλλον
die Aktion, die Aktionen	δράση
der Umweltschutz	προστασία του περιβάλλοντος
das Recycling	ανακύκλωση
das Insekt, die Insekten	έντομο
weg/werfen, er wirft weg, er hat weggeworfen	πετάω (κάτι άχρηστο)
der Marienkäfer, die Marienkäfer	πασχαλίτσα
um/geben, es umgibt	περιβάλλω
die Erde	γη
die Luft	αέρας
schützen, er schützt, er hat geschützt	προστατεύω
zerstören, er zerstört, er hat zerstört	καταστρέφω
verschmutzen, er verschmutzt, er hat verschmutzt	ρυπαίνω
Das geht uns alle an.	Μας αφορά όλους.
senden, er sendet, er hat gesendet/gesandt	στέλνω
die Vereinten Nationen (Plural!) / die UNO	Οργανισμός Ηνωμένων Εθνών, ΟΗΕ
die Botschaft, die Botschaften	[εδώ!] μήνυμα
atmen, er atmet, er hat geatmet	αναπνέω
das Klima	κλίμα
der Planet, die Planeten	πλανήτης
bewohnbar	κατοικίσιμος
sorgen, er sorgt, er hat gesorgt für + Akk	φροντίζω
das Fußballbild, die Fußballbilder	εικόνα ποδοσφαιριστή, ποδοσφαιρική εικόνα
das Ehepaar, die Ehepaare	ζευγάρι
das Wurstbrot, die Wurstbrote	ψωμί/σάντουϊτς με αλλαντικά
die Mütze, die Mützen	σκουφί
der Interviewer, die Interviewer / die Interviewerin,	ο/η δημοσιογράφος που παίρνει τη συνέντευξη
der Tausch	ανταλλαγή
Einverstanden!	Σύμφωνος! / Σύμφωνοι!
die Tauschparty, die Tauschpartys	πάρτι ανταλλαγών
der Kleidertausch	ανταλλαγή ρούχων
das Portemonnaie, die Portmonnaies	πορτοφόλι
der Kleiderschrank, die Kleiderschränke	ντουλάπα για τα ρούχα
sich ändern, er ändert sich, er hat sich geändert	αλλάζω, μεταβάλλομαι
wachsen, er wächst, er ist gewachsen	μεγαλώνω, αυξάνομαι
der Kleiderberg, die Kleiderberge	βουνό από ρούχα
die Bedingung, die Bedingungen	όρος
sauber	καθαρός
übrig/bleiben, es bleibt übrig, es ist übriggeblieben	περισσεύω, απομένω
die Einrichtung, die Einrichtungen	[εδώ!] οργανισμός
die Schultasche, die Schultaschen	σχολική τσάντα
die Handyhülle, die Handyhüllen	θήκη κινητού
nachhaltig	μόνιμος, που δεν αλλάζει
die Klamotten (Plural!)	ρούχα
ungeliebt	που δεν αρέσει
die Altkleidersammlung	συλλογή παλιού ρουχισμού
um/stylen, er stylt um, er hat umgestylt	αλλάζω στιλ, τροποποιώ
umweltfreundlich	φιλικός προς το περιβάλλον
statt	αντί (για)
angenehm	ευχάριστος
bezahlbar	προσιτός, (κάτι) που μπορείς να αντέξεις οικονομικά
hübsch	όμορφος
der Slum, die Slums	παράγκα
mitten	καταμεσής
blicken, er blickt, er hat geblickt	κοιτάζω, βλέπω
der Zaun, die Zäune	φράκτης
der Kleingartenverein, die Kleingartenvereine	σύλλογος μικροκηπουρών
der Kleingarten, die Kleingärten /	μικρός κήπος, κηπάριο
der Gartenbesitzer, die Gartenbesitzer /	ιδιοκτήτης/ιδιοκτήτρια κήπου
sich erholen, er erholt sich, er hat sich erholt	ξεκουράζομαι
das Mitglied, die Mitglieder	μέλος
der Verein, die Vereine	σύλλογος
die Versammlung, die Versammlungen	συγκέντρωση
damit	για να
der Gartennachbar, die Gartennachbarn /	ιδιοκτήτης/άνθρωπος του γειτονικού κήπου
essbar	βρώσιμος, που μπορεί να φαγωθεί
das Grüne	το πράσινο, εξοχή
das Bio-Gemüse	βιολογικά λαχανικά
das Insektenhotel, die Insektenhotels	„ξενώνας“ για έντομα
der Käfer, die Käfer	σκαθάρι
erlebbar	που μπορεί κανείς να βιώσει
der Sandkasten, die Sandkästen	σκάμμα (με άμμο)
die Bio-Qualität	βιολογική ποιότητα
die Partyzone, die Partyzonen	χώρος για πάρτι
wunderschön	θαυμάσιος
das Gartenjournal, die Gartenjournals	μαγκαζίνο/νέα του κήπου
der Laden, die Läden	μαγαζί, κατάστημα
Das ist machbar.	Αυτό γίνεται / μπορεί να γίνει.
stecken, es steckt	[εδώ!] κρύβεται
verstehbar	κατανοήσιμος
brauchbar	χρήσιμος
es ist windig	φυσάει
der Stoffbeutel, die Stoffbeutel	υφασμάτινη τσάντα, υφασμάτινος σάκος
recyceln, er recycelt, er hat recycelt	ανακυκλώνω
die Glasflasche, die Glasflaschen	γυάλινο μπουκάλι
öffentlich	δημόσιος
die Plastikflasche, die Plastikflaschen	πλαστικό μπουκάλι
der Influencer, die Influencer / die Influencerin,	επηρεαστής/επηρεάστρια (της κοινής γνώμης), influencer
das Aussehen	(εξωτερική) εμφάνιση
ein/fallen, es fällt ein, es ist eingefallen	έρχεται στο μυαλό
an/pflanzen, er pflanzt an, er hat angepflanzt	φυτεύω
anbaubar	που μπορεί να φυτέψει κανείς
ausleihbar	που μπορεί να δανειστεί κανείς
herunterladbar	που μπορεί να κατεβάσει κανείς
lesbar	ευανάγνωστος
die Plastiktüte, die Plastiktüten	πλαστική σακούλα
trennen, er trennt, er hat getrennt	(δια)χωρίζω
unfair	άδικος
die Folge, die Folgen	συνέπεια, επακόλουθο
das Selbermachen	το να κάνω κάτι ο ίδιος / μόνος μου
das Reparaturcafé, die Reparaturcafés	καφενείο-επιδιορθωτήριο
die Möbel (Plural!)	έπιπλα
das Elektrogerät, die Elektrogeräte	ηλεκτρική συσκευή
sich austauschen, er tauscht sich aus,	συζητώ, ανταλλάσσω απόψεις
die Lieblingsjacke, die Lieblingsjacken	αγαπημένο σακάκι
das Werkzeug, die Werkzeuge	εργαλείο
die Nähmaschine, die Nähmaschinen	ραπτομηχανή
die Bohrmaschine, die Bohrmaschinen	τρυπάνι
das Ersatzteil, die Ersatzteile	ανταλλακτικό
die Reparatur, die Reparaturen	επισκευή
das Material, die Materialien	υλικό, υλικά
die Schraube, die Schrauben	βίδα
der Nagel, die Nägel	καρφί
unterstützen, er unterstützt, er hat unterstützt	υποστηρίζω
mit/helfen, er hilft mit, er hat mitgeholfen	βοηθώ, βάζω ένα χεράκι
der Gründer, die Gründer / die Gründerin,	ιδρυτής, ιδρύτρια
der Kulturwissenschaftler, die Kulturwissenschaftler /	πολιτισμολόγος
das Konzept, die Konzepte	σχέδιο
ein/richten, er richtet ein, er hat eingerichtet	στήνω, φτιάχνω
der Helfer, die Helfer / die Helferin, die Helferinnen	βοηθός
die Spende, die Spenden	δωρεά
der Workshop, die Workshops	σεμινάριο
der Toaster, die Toaster	τοστιέρα
kaputt/gehen, es geht kaputt, es ist kaputtgegangen	χαλάω, παύω να λειτουργώ
das Display, die Displays	οθόνη
aus/tauschen, er tauscht aus, er hat ausgetauscht	[εδώ!] αλλάζω, αντικαθιστώ
der Staubsauger, die Staubsauger	ηλεκτρική σκούπα
die Erdbeermarmelade	μαρμελάδα φράουλα
nähen, er näht, er hat genäht	ράβω
kürzer machen, er macht kürzer, er hat kürzer gemacht	κονταίνω (κάτι)
bestimmt	[εδώ!] σίγουρα
der Heimwerker, die Heimwerker / die Heimwerkerin,	ερασιτέχνης τεχνίτης
das Kursangebot, die Kursangebote	προσφερόμενοι κύκλοι μαθημάτων
der Heimwerkerkurs, die Heimwerkerkurse	μαθήματα για ερασιτέχνες τεχνίτες
die Werkzeugkiste, die Werkzeugkisten	εργαλειοθήκη
die Zange, die Zangen	πένσα, τανάλια
unterschiedlich	διαφορετικός
die Säge, die Sägen	πριόνι
das Heimwerken	ερασιτεχνικά μαστορέματα (στο σπίτι)
streamen, es streamt, es hat gestreamt	στριμάρω, ανεβάζω/προβάλλω στο διαδίκτυο
die Decke, die Decken	[εδώ!] ταβάνι, οροφή
streichen, er streicht, er hat gestrichen	[εδώ!] βάφω
das Holz	ξύλο
die Kenntnisse (Plural!)	γνώσεις
plus	συν
die Materialkosten (Plural!)	κόστος των υλικών, δαπάνες για υλικά
renovieren, er renoviert, er hat renoviert	ανακαινίζω
bohren, er bohrt, er hat gebohrt	τρυπάω, ανοίγω τρύπα
der Baumarkt, die Baumärkte	κατάστημα οικοδομικού/οικιακού εξοπλισμού
das Möbelhaus, die Möbelhäuser	κατάστημα επίπλων
die Leiter, die Leitern	(φορητή) σκάλα
das Loch, die Löcher	τρύπα
der Zweck, die Zwecke	σκοπός
die Palette, die Paletten	παλέτα
die Bauanleitung, die Bauanleitungen	οδηγίες κατασκευής
das Palettensofa, die Palettensofas	καναπές από παλέτες
zusammen/schrauben, er schraubt zusammen,	βιδώνω (μαζί), συναρμολογώ
trocken	[εδώ!] στεγνός
das Aktiv	ενεργητική φωνή
das Passiv	παθητική φωνή
die Palettenmöbel (Plural!)	έπιπλα από παλέτες
wiegen, er wiegt, er hat gewogen	ζυγίζω
an/schließen, er schließt an, er hat angeschlossen	[εδώ!] συνδέω
die Taste, die Tasten	πλήκτρο
drücken, er drückt, er hat gedrückt	πιέζω
das Fach, die Fächer	[εδώ!] (συρταρωτή) θήκη
ein/geben, er gibt ein, er hat eingegeben	εισάγω
die Reklamation, die Reklamationen	παράπονο
der Medienmarkt, die Medienmärkte	κατάστημα ηλεκτρονικών συσκευών
ein/schalten, er schaltet ein, er hat eingeschaltet	θέτω σε λειτουργία
geladen	φορτισμένος
die Ein-/Aus-Taste	κουμπί ON-OFF
circa	περίπου
defekt sein, es ist defekt, es war defekt	έχει βλάβη
die Garantie, die Garantien	εγγύηση
um/tauschen, er tauscht um, er hat umgetauscht	αλλάζω, αντικαθιστώ
das Modell, die Modelle	μοντέλο
reklamieren, er reklamiert, er hat reklamiert	παραπονούμαι (για κάποια βλάβη)
der Umtausch	αλλαγή, αντικατάσταση
die Starttaste	κουμπί έναρξης λειτουργίας
selbst	ο ίδιος
das Werkzeuggeschäft, die Werkzeuggeschäfte	κατάστημα σιδερικών
das Bohrloch, die Bohrlöcher	τρύπα (από τρυπάνι)
sägen, er sägt, er hat gesägt	πριονίζω
der Grundkurs, die Grundkurse	βασικός κύκλος μαθημάτων
der Möbelbau	κατασκευή επίπλων
sich streiten, er streitet sich, er hat sich gestritten	τσακώνομαι
die Deckenlampe, die Deckenlampen	φωτιστικό οροφής
das Palettenbett, die Palettenbetten	παλετοκρέβατο, κρεβάτι από παλέτες
ganz schön + Adj./Adv.	αρκετά ...
der Akkuschrauber, die Akkuschrauber	επαναφορτιζόμενο κατσαβίδι
das Holzbrett, die Holzbretter	ξύλινη σανίδα
schrauben, er schraubt, er hat geschraubt	βιδώνω
rechnen, er rechnet, er hat gerechnet mit ...	[εδώ!] υπολογίζω, λογαριάζω (κατ‘ εκτίμηση)
ziehen, er zieht, er hat gezogen	[εδώ!] βγάζω, αφαιρώ (τραβώντας)
die Umweltaktion, die Umweltaktionen	δράση για το περιβάλλον
die Betonung	τονισμός
die Öffnung, die Öffnungen	άνοιγμα
die Schrift	[εδώ!] γραφικός χαρακτήρας
betonen, er betont, er hat betont	τονίζω
das Kim-Spiel / das Merk-Kim	παιχνίδι παρατηρητικότητας
das Fühl-Kim	παιχνίδι αντίληψης (μέσω της αφής)
zu/decken, er deckt zu, er hat zugedeckt	καλύπτω
fühlen, er fühlt, er hat gefühlt	[εδώ!] ψηλαφώ
die Decke, die Decken	[εδώ!] σκέπασμα
der Hase, die Hasen	λαγός
der Igel, die Igel	σκαντζόχοιρος
das Märchen, die Märchen	παραμύθι
singen, er singt, er hat gesungen	τραγουδώ
summen, er summt	βομβώ, βουϊζω
das Feld, die Felder	χωράφι
höflich	ευγενικός, ευγενικά
unhöflich	αγενής
glauben, er glaubt, er hat geglaubt	πιστεύω
der Wettlauf, die Wettläufe	αγώνας δρόμου
sicher	[εδώ!] βέβαιος, σίγουρος
Das ist zum Lachen.	Αυτό είναι για γέλια.
der Gewinner, die Gewinner / die Gewinnerin,	νικητής, νικήτρια
das Goldstück, die Goldstücke	χρυσό (νόμισμα)
der Textabschnitt, die Textabschnitte	απόσπασμα του κειμένου
die Figur, die Figuren	φιγούρα (μιας ιστορίας)
wetten, er wettet, er hat gewettet	στοιχηματίζω, βάζω στοίχημα
sich stellen, er stellt sich, er hat sich gestellt	στέκομαι, παίρνω θέση
los/laufen, er läuft los, er ist losgelaufen	ξεκινώ να τρέχω
überrascht	έκπληκτος
zurück/laufen, er läuft zurück, er ist zurückgelaufen	τρέχω πίσω
der Hasenbesuch	επίσκεψη του λαγού
aus/reichen, es reicht aus	φθάνει, αρκεί, είναι αρκετό
die Abendschule, die Abendschulen	νυχτερινό σχολείο
wieder/gut/machen, er macht es wieder gut,	επανορθώνω
die Bildbeschreibung, die Bildbeschreibungen	περιγραφή της εικόνας
die Bildmitte	κέντρο της εικόνας
das Naturtalent, die Naturtalente	φυσικό ταλέντο
die Bremse ziehen, er zieht die Bremse,	τραβώ το φράνο
das Talent, die Talente	ταλέντο
sowieso	έτσι κι αλλιώς, ούτως ή άλλως
der Fußballheld, die Fußballhelden	αστέρι (ποδοσφαιρικό)
die Hochzeitsfeier, die Hochzeitsfeiern	γαμήλια τελετή/γιορτή
nach/denken, er denkt nach,	σκέπτομαι, κάνω σκέψεις για ...
die Jubiläumsparty, die Jubiläumspartys	επετειακό πάρτι, πάρτι για τον εορτασμό μιας επετείου
das Jubiläum, die Jubiläen	επέτειος
der Hochzeitstag	1. ημέρα γάμου     2. επέτειος γάμου
bloß nicht	μη [εμφατικό]
der Gipfelstürmer, die Gipfelstürmer /	κορυφοκατακτητής
das Hüttengericht, die Hüttengerichte	φαγητό που σερβίρεται στο καταφύγιο
der Kaiserschmarr(e)n	γλυκιά τηγανίτα
die Speckknödel (Plural!)	κεφτέδες από ψωμί και λίπος
die Käsespätzle (Plural!)	ζυμαρικά με τυρί
die Brotzeit	δεκατιανό
der Apfelstrudel	στρούντελ με μήλα
die Jause	κολατσιό [Αυστρία]
das Znüni	κολατσιό [Ελβετία]
die Hütte, die Hütten	καλύβα, [εδώ!] καταφύγιο
das Wanderparadies	οδοιπορικός παράδεισος
der Wanderer, die Wanderer / die Wanderin,	οδοιπόρος, πεζοπόρος
boomen, es boomt	παρουσιάζω εκρηκτική ανάπτυξη
der Wanderurlaub	διακοπές με πεζοπορία
der Berggipfel, die Berggipfel	βουνοκορφή
der Wanderweg, die Wanderwege	οδοιπορική διαδρομή, οδοιπορικό μονοπάτι
der Wanderprofi, die Wanderprofis	έμπειρος οδοιπόρος
die Hüttenwanderung, die Hüttenwanderungen	πεζοπορία από καταφύγιο σε καταφύγιο
die Aussicht	[εδώ!] θέα
traumhaft	ονειρεμένος
die Berghütte, die Berghütten	ορεινό καταφύγιο
die Hüttenwirtinnen	διαχειριστής/διαχειρίστρια του καταφυγίου
die Sonnenaufgangswanderung	πεζοπορία με την ανατολή του ήλιου
scheinen (die Sonne scheint)	λάμπω (ο ήλιος λάμπει)
der Wanderpartner, die Wanderpartner /	συνοδοιπόρος, σύντροφος στην πεζοπορία
die Herbstwanderung	φθινοπωρινή πεζοπορία
das Bergwandern	ορεινή πεζοπορία, πεζοπορία στα βουνά
das Tal, die Täler	κοιλάδα
der Sommerurlaub	καλοκαιρινές διακοπές, θερινή άδεια
die Erholung	ξεκούραση, ανάπαυση
die Höhe, die Höhen	ύψος
die Abwechslung	ποικιλία, εναλλαγή
der Fahrradfan, die Fahrradfans	φίλος/οπαδός του ποδηλάτου
das Mountainbike, die Mountainbikes	ποδήλατο μάουντεν
das E-Bike, die E-Bikes	ηλεκτρικό ποδήλατο
die Länge, die Längen	μήκος
die Schwierigkeit	[εδώ!] βαθμός δυσκολίας
bergauf	ανηφορίζοντας
bergab	κατηφορίζοντας
die Touristeninformation	κέντρο πληροφόρησης επισκεπτών
die Verabschiedung	αποχαιρετισμός
analysieren, er analysiert, er hat analysiert	αναλύω
die Kategorie, die Kategorien	κατηγορία, ομάδα
der Hinweis, die Hinweise	υπόδειξη
die Beratung, die Beratungen	παροχή συμβουλών
der Spaziergang, die Spaziergänge	περίπατος
die Wanderkarte, die Wanderkarten	οδοιπορικός χάρτης
der Urlaubswunsch, die Urlaubswünsche	επιθυμία για τις διακοπές
wütend	εξοργισμένος, πολύ θυμωμένος
traurig	θλιμμένος, λυπημένος
glücklich	ευτυχισμένος
ängstlich	φοβισμένος
basieren, er basiert auf + Akk	βασίζομαι
gelähmt	παράλυτος
der Rollstuhl, die Rollstühle	αναπηρικό αμαξίδιο
das Kindermädchen, die Kindermädchen	νταντά
streng	αυστηρός
der Diener, die Diener / die Dienerin, die Dienerinnen	υπηρέτης, υπηρέτρια
zurück/schicken, er schickt zurück, er hat zurückgeschickt	στέλνω πίσω
die Alp	ορεινό βοσκοτόπι
gern haben, er hat gern, er hatte gern	αγαπώ
überglücklich	τρισευτυχισμένος
rennen, er rennt, er ist gerannt	τρέχω
das Filmteam, die Filmteams	ομάδα που γύρισε την ταινία
die Filmbeschreibung, die Filmbeschreibungen	περιγραφή της ταινίας
der Trailer, die Trailer	τρέϊλερ, διαφημιστικό φιλμάκι
das Suchwort, die Suchwörter	λέξη-κλειδί αναζήτησης
die Filmfigur, die Filmfiguren	φιγούρα/πρόσωπο της ταινίας
allgemein	γενικά
entscheiden, er entscheidet, er hat entschieden	[εδώ!] ορίζω
die Einleitung	εισαγωγή
der Hauptteil	κύριο/κεντρικό μέρος
der Schluss	κλείσιμο, επίλογος
der Lieblingsfilm, die Lieblingsfilme	αγαπημένη ταινία
der Apfelmus	πολτός μήλου
der Schlafplatz, die Schlafplätze	κρεβάτι (σε ξενώνα)
ungefähr	περίπου
das Busticket, die Bustickets	εισιτήριο του λεωφορείου
die Wanderschuhe (Plural!)	παπούτσια για περπάτημα
herrlich	θαυμάσιος
die Socke, die Socken	κάλτσα
die Hüttenschuhe (Plural!)	παντόφλες για το καταφύγιο
sauer	[εδώ!] τσαντισμένος
die Regie	σκηνοθεσία
der Filmausschnitt, die Filmausschnitte	απόσπασμα από την ταινία
der Heimatort, die Heimatorte	ιδιαίτερη πατρίδα
der Stern, die Sterne	αστέρι
das Beratungsgespräch, die Beratungsgespräche	συμβουλευτικός διάλογος
stinksauer	πολύ τσαντισμένος
der Regisseur, die Regisseure	σκηνοθέτης
die Freundschaft, die Freundschaften	φιλία
fern	μακριά
die Beziehung, die Beziehungen	σχέση
der Soziologe, die Soziologen / die Soziologin,	κοινωνιολόγος
die Studie, die Studien	έρευνα
eng	στενός
definieren, er definiert, er hat definiert	ορίζω
freiwillig	1. εκούσιος, οικειοθελής     2. εθελοντικός
sich umarmen, sie umarmen sich, sie haben sich umarmt	αγκαλιάζομαι
der Charakter, die Charaktere	χαρακτήρας
erstaunen, es erstaunt	εκπλήσσω
doof	χαζός, ανόητος
sich (wieder) vertragen, sie vertragen sich (wieder),	τα (ξανα)βρίσκω, συμφιλιώνομαι
zufrieden	ικανοποιημένος, ευχαριστημένος
kritisch	επικριτικός, γκρινιάρης
der Humor	χιούμορ
das Geschenk, die Geschenke	δώρο
Top ...	κορυφαίος
die Konzertkarte, die Konzertkarten	εισιτήριο για μία συναυλία
das Fotobuch, die Fotobücher	άλμπουμ
der Gutschein, die Gutscheine	κουπόνι
das Parfüm, die Parfüms	άρωμα
der Single, die Singles	εργένης, εργένισσα
der Beziehungsstatus	καθεστώς/είδος σχέσης
kompliziert	μπερδεμένος, συγκεχυμένος
das Wunder, die Wunder	θαύμα
die Auswertung, die Auswertungen	αξιολόγηση
ändern, er ändert, er hat geändert	αλλάζω (κάτι)
einzig	μοναδικός
die Plattform, die Plattformen	πλατφόρμα
vielfältig	ποικίλος
der Gartenfreund, die Gartenfreunde /	φίλος/φίλη του κήπου
die Freizeitaktivität, die Freizeitaktivitäten	δραστηριότητα στον ελεύθερο χρόνο
lächeln, er lächelt, er hat gelächelt	χαμογελώ
Was ist los (mit dir)?	Τι (σου) συμβαίνει;
das Kochrezept, die Kochrezepte	συνταγή μαγειρικής
die Hälfte, die Hälften	το μισό
der Buchtitel, die Buchtitel	τίτλος βιβλίου
die Lüge, die Lügen	ψέμμα, ψεύδος
der Forscher, die Forscher / die Forscherin,	ερευνητής, ερευνήτρια
die Buchrezension, die Buchrezensionen	βιβλιοκριτική
der Mediziner, die Mediziner / die Medizinerin,	ιατρός
die Forschungsstation, die Forschungsstationen	ερευνητικός σταθμός
die Schönheit, die Schönheiten	ομορφιά
der Pizzadienst, die Pizzadienste	υπηρεσία διανομής πίτσας
die Yogastunde, die Yogastunden	ώρα γιόγκα
die Entdeckungsreise, die Entdeckungsreisen	ταξίδι εξερεύνησης και ανακάλυψης
golden	χρυσός
der Hahn, die Hähne	κόκορας
die Dorfstraße, die Dorfstraßen	(κεντρικός) δρόμος του χωριού
die Gemeinde, die Gemeinden	κοινότητα
die Fläche, die Flächen	επιφάνεια, έκταση
der Musikverein, die Musikvereine	μουσικός όμιλος
das Dorffest, die Dorffeste	πανηγύρι (του χωριού)
der Traktor, die Traktoren	τρακτέρ
die Feuerwehr	πυροσβεστική υπηρεσία
die Dorfkneipe, die Dorfkneipen	μπυραρία του χωριού
vorbei/fahren, er fährt vorbei, er ist vorbeigefahren	περνάω μπροστά από ...
parken, er parkt, er hat geparkt	παρκάρω, σταθμεύω
die Doppelgarage, die Doppelgaragen	διπλό γκαράζ
die Recherchearbeit, die Recherchearbeiten	έρευνα
über Gott und die Welt reden, sie reden über Gott und	συζητώ για τα πάντα
zurück/kommen, er kommt zurück,	επιστρέφω, γυρίζω πίσω
zusammen/halten, sie halten zusammen,	αλληλοϋποστηρίζομαι
der Abschied	αποχαιρετισμός
der Sonnenschein	λιακάδα
der Bürgermeister, die Bürgermeister /	δήμαρχος
der Hobbygärtner, die Hobbygärtner /	ερασιτέχνης καλλιεργητής
die Apfelernte	συγκομιδή των μήλων
weiter/machen, er macht weiter, er hat weitergemacht	συνεχίζω
der Landwirt, die Landwirte / die Landwirtin,	αγροκτήμονας
der Kuhstall, die Kuhställe	βουστάσιο
der Kurier, die Kuriere	αγγελιαφόρος, ταχυδρόμος
die Dorfzeitung, die Dorfzeitungen	εφημερίδα του χωριού
das Vereinsheim, die Vereinsheime	γραφεία του συλλόγου
der Landfrauenverein, die Landfrauenvereine	σύλλογος αγροτισσών
das Gemeindehaus, die Gemeindehäuser	κοινοτικό γραφείο
der Jugendclub, die Jugendclubs	λέσχη/όμιλος νέων
das Dorfkino, die Dorfkinos	κινηματογράφος του χωριού
der Hofladen, die Hofläden	πωλητήριο του αγροκτήματος [κατάστημα
das Herbstfest	φθινοπωρινή γιορτή
der Bauernmarkt, die Bauernmärkte	χωριάτικη λαϊκή αγορά
der Dorfplatz, die Dorfplätze	πλατεία του χωριού
die Bürger*innen-Sprechzeit	ώρα ακρόασης δημοτών
der Winterfahrplan, die Winterfahrpläne	χειμερινός πίνακας δρομολογίων
der Schulbus, die Schulbusse	σχολικό λεωφορείο
die Probe, die Proben	πρόβα, δοκιμή
der Notfall, die Notfälle	κατάσταση ανάγκης
die Spielgruppe, die Spielgruppen	ομάδα παιχνιδιού
das Videointerview, die Videointerviews	μαγνητοσκοπημένη συνέντευξη
der Maurer, die Maurer	χτίστης, οικοδόμος
Ehrlich gesagt	Για να είμαι ειλικρινής, για να πώ την αλήθεια
Und ob!	Και βέβαια!
der Klatsch / der Tratsch	κουτσομπολιό
das Museumsdorf, die Museumsdörfer	μουσειακό χωριό
der Haupteingang, die Haupteingänge	κεντρική είσοδος
das Backhaus, die Backhäuser	φούρνος
der Dorfladen, die Dorfläden	κατάστημα του χωριού
das Museumscafé, die Museumscafés	καφετέρια του μουσείου
der Museumsshop, die Museumsshops	πωλητήριο του μουσείου
der Rundgang, die Rundgänge	περιήγηση
der Audioguide, die Audioguides	ηχογραφημένη ξενάγηση
das Landbrot, die Landbrote	χωριάτικο ψωμί
Plattdeutsch	γλωσσικό ιδίωμα της Βόρειας Γερμανίας
die Leser*innenbriefe (Plural!)	επιστολές αναγνωστών/αναγνωστριών
der Landarzt, die Landärzte / die Landärztin,	αγροτικός ιατρός, ιατρός υπαίθρου
der Dorfbewohner, die Dorfbewohner /	κάτοικος του χωριού
die Zeile, die Zeilen	αράδα (κειμένου)
die Frauenorganisation, die Frauenorganisationen	οργάνωση γυναικών
der Quadratkilometer, die Quadratkilometer	τετραγωνικό χιλιόμετρο
das Fahrzeug, die Fahrzeuge	όχημα
der Esstisch, die Esstische	τραπέζι του φαγητού
Sorge(n) machen, es macht Sorgen, es hat	ανησυχώ
entlang	κατά μήκος
wach	ξύπνιος
die Bushaltestelle, die Bushaltestellen	στάση του λεωφορείου
die Erinnerung, die Erinnerungen	ανάμνηση
duzen, er duzt, er hat geduzt	μιλώ (σε κάποιον) στον ενικό
die Passivform, die Passivformen	τύπος παθητικής φωνής
tratschen, er tratscht, er hat getratscht	κουτσομπολεύω
betont	τονισμένος
schlau	έξυπνος
die Hausnummer, die Hausnummern	αριθμός του σπιτιού
das Feuerwehrhaus, die Feuerwehrhäuser	κτίριο της πυροσβεστικής
Niederländisch	Ολλανδικά
die Dorfschule, die Dorfschulen	σχολείο του χωριού
der Nachbarort, die Nachbarorte	γειτονικό μέρος
die Apfelernte	συγκομιδή των μήλων
der Lebenstraum, die Lebensträume	όνειρο ζωής
der Glücksmoment, die Glücksmomente	στιγμή ευτυχίας
der Physiker, die Physiker / die Physikerin,	ο/η φυσικός
der Ausbildungsplatz, die Ausbildungsplätze	θέση εκπαιδευόμενου
die Deutschprüfung, die Deutschprüfungen	εξέταση γερμανικών
die Suche	αναζήτηση
der Lottogewinn, die Lottogewinne	κέρδος στο Lotto
das Lebensglück	ευτυχία στη ζωή
dauerhaft	μόνιμος, μόνιμα
beweisen, er beweist, er hat bewiesen	αποδεικνύω
der Glücksforscher, die Glücksforscher /	ερευνητής/ερευνήτρια του φαινομένου της ευτυχίας
fest/stellen, er stellt fest, er hat festgestellt	διαπιστώνω
die Partnerschaft, die Partnerschaften	σχέση συντροφικότητας
die Gesundheit	υγεία
der Glücksfaktor, die Glücksfaktoren	παράγων ευτυχίας
das Glücklichsein	ευτυχία, το να είναι κανείς ευτυχισμένος
übersehen, er übersieht, er hat übersehen	παραβλέπω
der Glücklichmacher, die Glücklichmacher	πράγμα που σε κάνει ευτυχισμένο
der Sitzplatz, die Sitzplätze	θέση καθημένου
der Berufswunsch, die Berufswünsche	επαγγελματική επιθυμία
