der Start	αρχή, ξεκίνημα
das Familienfoto, die Familienfotos	οικογενειακή φωτογραφία
das Startup, die Startups	νεοφυής επιχείρηση
die Grafik, die Grafiken	γραφική απεικόνιση
erzählen, er erzählt	διηγούμαι
der Journalist, die Journalisten / die Journalistin,	δημοσιογράφος
der Fotograf, die Fotografen / die Fotografin,	φωτογράφος
die Zeitung, die Zeitungen	εφημερίδα
der Fotoladen, die Fotoläden	φωτογραφείο, κατάστημα φωτογραφικών ειδών
das Möbeldesign	σχεδιασμός επίπλων
das Diktat, die Diktate	ορθογραφία
mitschreiben, er schreibt mit	γράφω (όπως ακούω κάτι)
der Familienbesuch	επίσκεψη από συγγενείς
das Familienmitglied, die Familienmitglieder	μέλος της οικογένειας
die Verwandtschaft, die Verwandtschaften	συγγενείς, συγγενολόι
das Perfekt	παρακείμενος
reparieren, er repariert	επιδιορθώνω, επισκευάζω
verkaufen, er verkauft	πουλάω
der Check, die Checks	έλεγχος
der Automobilkaufmann / die Automobilkauffrau,	πωλητής/πωλήτρια αυτοκινήτων
der Mechatroniker, die Mechatroniker /	ηλεκτρομηχανικός
der Informatikkaufmann, die Informatikkaufmänner /	ειδικός συστημάτων πληροφορικής
die Ausbildung, die Ausbildungen	εκπαίδευση
der Leserbrief, die Leserbriefe	επιστολή αναγνώστη
die Redaktion, die Redaktionen	σύνταξη (εφημερίδας/περιοδικού)
meinen, er meint	θεωρώ
beruflich	επαγγελματικός, επαγγελματικά
das Interesse, die Interessen	το ενδιαφέρον
der Arbeitsort, die Arbeitsorte	τόπος εργασίας
das Berufsprofil, die Berufsprofile	επαγγελματικό προφίλ
die Berufsausbildung	επαγγελματική εκπαίδευση
mitmachen, er macht mit	συμμετέχω
eigentlich	[εδώ!] αλήθεια, πράγματι
die Berufsfachschule, die Berufsfachschulen	ειδική επαγγελματική σχολή
das Seniorenheim, die Seniorenheime	οίκος ευγηρίας, γηροκομείο
der Senior, die Senioren / die Seniorin, die Seniorinnen	ηλικιωμένος
der Alltag	καθημερινή ζωή, καθημερινότητα
duschen, er duscht	κάνω ντους
anziehen (sich), er zieht (sich) an	ντύνομαι
ausziehen (sich), er zieht (sich) aus	ξεντύνομαι, βγάζω (κάτι που φορώ)
waschen (sich), er wäscht (sich)	πλένομαι
bringen, er bringt (ins Bett bringen)	φέρνω (βάζω στο κρεββάτι / για ύπνο)
das Medikament, die Medikamente	φάρμακο
früher	παλαιότερα
die Erfahrung, die Erfahrungen	[εδώ!] εμπειρία
der Arbeitsplatz, die Arbeitsplätze	χώρος εργασίας
die App, die Apps	(ψηφιακή) εφαρμογή
installieren, er installiert	εγκαθιστώ
das Computerspiel, die Computerspiele	ηλεκτρονικό παιχνίδι
ausprobieren, er probiert aus	δοκιμάζω
der Berufs-Check, die Berufs-Checks	δοκιμή σε κάποιο επάγγελμα
das Berufsporträt, die Berufsporträts	επαγγελματικό πορτρέτο
der Maurer, die Maurer / die Maurerin, die Maurerinnen	χτίστης, χτίστρια
der Kosmetiker, die Kosmetiker / die Kosmetikerin,	αισθητικός
der Kosmetiksalon, die Kosmetiksalons	στούντιο αισθητικής
die Baustelle, die Baustellen	γιαπί, οικοδομικό εργοτάξιο
beobachten, er beobachtet	παρατηρώ
überlegen, er überlegt	σκέπτομαι, αναλογίζομαι
das Praktikum, die Praktika	πρακτική εξάσκηση
die Bewerbung, die Bewerbungen	αίτηση πρόσληψης
verschicken, er verschickt	στέλνω, αποστέλλω
der Erfolg, die Erfolge	επιτυχία
die Berufsschule, die Berufsschulen	επαγγελματική σχολή
langweilig	βαρετός, ανιαρός
der Stein, die Steine	πέτρα
der Beton	μπετόν
das Eisen	σίδερο
die Hilfe, die Hilfen	βοήθεια
beenden, er beendet	τελειώνω, ολοκληρώνω
anschauen, er schaut an	κοιτάζω
der Schichtdienst	υπηρεσία σε βάρδιες
die Frühschicht	πρωινή βάρδια
die Spätschicht	απογευματινή βάρδια
die Nachtschicht	νυχτερινή βάρδια
das Ding, die Dinge (Das ist genau mein Ding.)	πράγμα (Αυτό είναι ακριβώς που μου αρέσει.)
als	[εδώ!] ως
feminin	θηλυκός
die Berufsbezeichnung, die Berufsbezeichnungen	ονομασία επαγγέλματος
die Endung, die Endungen	κατάληξη
der Architekt, die Architekten / die Architektin,	αρχιτέκτονας, αρχιτεκτόνισσα
betreuen, er betreut	φροντίζω, περιποιούμαι
untersuchen, er untersucht	εξετάζω
das Autohaus, die Autohäuser	κατάστημα πωλήσεως αυτοκινήτων
das Krankenhaus, die Krankenhäuser	νοσοκομείο
das Planungsbüro, die Planungsbüros	σχεδιαστικό γραφείο
die Stirn	μέτωπο
der Physiotherapeut, die Physiotheapeuten /	φυσιοθεραπευτής, φυσιοθεραπεύτρια
der Gymnastik-Kurs, die Gymnastik-Kurse	μαθήματα γυμναστικής
früh	νωρίς
der Patient, die Patienten / die Patientin, die Patientinnen	ασθενής
massieren, er massiert	κάνω μασάζ
beraten, er berät	συμβουλεύω, παρέχω συμβουλές
die Mittagspause, die Mittagspausen	μεσημβρινό/μεσημεριανό διάλειμμα
der Schüler, die Schüler / die Schülerin, die Schülerinnen	μαθητής, μαθήτρια
informieren, er informiert	πληροφορώ
die Bank, die Banken	τράπεζα
das Game-Design-Büro, die Game-Design-Büros	γραφείο σχεδιασμού (ηλεκτρονικών) παιχνιδιών
der Chef, die Chefs / die Chefin, die Chefinnen	αφεντικό
der Redemittelkasten	πλαίσιο με εκφραστικά μέσα
anbieten, er bietet an	προσφέρω
annehmen, er nimmt an	δέχομαι
aufräumen, er räumt auf	συγυρίζω
bedeutet, es bedeutet	σημαίνω
die Altenpflege	φροντίδα/περιποίηση υπερηλίκων
der Traumjob, die Traumjobs	επάγγελμα των ονείρων
der Salon, die Salons	[εδώ!] στούντιο (αισθητικής)
die Praxis, die Praxen	ιατρείο
der Motor, die Motoren	κινητήρας
ausgeben, er gibt aus	δίνω, μοιράζω
dokumentieren, er dokumentiert	[εδώ!] περιγράφω
die Massage, die Massagen	μασάζ
testen, er testet	δοκιμάζω, τεστάρω
verschieden	διάφοροι/-ες-/α
der Spaß (macht Spaß)	ευχαρίστηση (ευχαριστεί, διασκεδάζει)
lang (drei Jahre lang)	μακρύς (επί τρία χρόνια)
das Lebensmittel, die Lebensmittel	τρόφιμο
die Nudel, die Nudeln	ζυμαρικό
das Obst	φρούτα
die Wurst, die Würste	λουκάνικο, αλλαντικό
das Milchprodukt, die Milchprodukte	γαλακτοκομικό προϊόν
das Brot, die Brote	ψωμί
die Erdnuss, die Erdnüsse	φυστίκι
das Vollkornbrot, die Vollkornbrote	ψωμί πλήρους άλεσης
die Butter	βούτυρο
shoppen, er shoppt	ψωνίζω
schleppen, er schleppt	κουβαλάω, σέρνω
die Million, die Millionen	εκατομμύριο
der Vorteil, die Vorteile	πλεονέκτημα
der Online-Supermarkt, die Online-Supermärkte	διαδικτυακό σούπερ-μάρκετ
geöffnet	ανοικτός
müssen, er muss, er musste	πρέπει
nichts	τίποτα
die Foodbox, die Foodboxen	δοχείο φαγητού
frisch	φρέσκος
die Personenzahl, die Personenzahlen	αριθμός ατόμων
angeben, er gibt an	[εδώ!] δηλώνω
die Zutat, die Zutaten	υλικό (για την παρασκευή φαγητού)
die Marmelade, die Marmeladen	μαρμελάδα
der Honig, die Honige	μέλι
der Snack, die Snacks	σνακ
die Packung, die Packungen	πακέτο
die Paprika, die Paprikas	πιπεριά
der Bergkäse	βουνίσια γραβιέρα
die Weißwurst, die Weißwürste	άσπρο λουκάνικο
naturell	φυσικός
die Erdbeermarmelade	μαρμελάδα φράουλα
das Glas, die Gläser	[εδώ!] βάζο
die Einkaufsliste, die Einkaufslisten	κατάλογος με ψώνια
das Gramm, die Gramm	γραμμάριο
das Kilo(gramm), die Kilogramm/die Kilos	κιλό
der Liter, die Liter	λίτρο
der Markt, die Märkte	αγορά
die Feige, die Feigen	σύκο
die Mandarine, die Mandarinen	μανταρίνι
die Weintraube, die Weintrauben	σταφύλι
die Limette, die Limetten	μοσχολέμονο
der Pilz, die Pilze	μανιτάρι
die Banane, die Bananen	μπανάνα
die Birne, die Birnen	αχλάδι
die Mini-Tomate, Mini-Tomaten	ντοματίνι
die Möhre, die Möhren	καρότο
die Gurke, die Gurken	αγγούρι
die Zucchini, die Zucchinis	κολοκυθάκι
die Zwiebel, die Zwiebeln	κρεμμύδι
kosten, es kostet	κοστίζω
der Marktstand, die Marktstände	πάγκος (λαϊκής αγοράς)
dürfen, er darf, er durfte	επιτρέπεται
Was darf es denn sein?	Τι θα θέλατε;
dieser, dieses, diese	αυτός, αυτή, αυτό
der Wunsch, die Wünsche	επιθυμία
der Einkaufsdialog, die Einkaufsdialoge	διάλογος μεταξύ πωλητή και αγοραστή
Darf es noch etwas sein?	Θα θέλετε κάτι ακόμα;
der Verkäufer, die Verkäufer / die Verkäuferin,	πωλητής, πωλήτρια
wünschen er wünscht	επιθυμώ
als	[εδώ!] παρά
die Orange, die Orangen	πορτοκάλι
das Weißbrot, die Weißbrote	άσπρο ψωμί
der Tomatensalat, die Tomatensalate	ντοματοσαλάτα
der Gurkensalat, die Gurkensalate	αγγουροσαλάτα
das Fragewort, die Fragewörter	ερωτηματική λέξη
der Kopfsalat, die Kopfsalate	σαλάτα, μαρούλι
Ich hätte gern ...	Ιch hätte gern ...
der Koch, die Köche / die Köchin, die Köchinnen	μάγειρας, μαγείρισσα
der Kochkurs, die Kochkurse	μαθήματα μαγειρικής
der Löffel, die Löffel	κουτάλι
die Show-Küche, die Show-Küchen	(ανοιχτή) κουζίνα επίδειξης
die Kochtechnik, die Kochtechniken	μαγειρική τεχνική, τεχνική μαγειρέματος
die Tischdekoration, die Tischdekorationen	διακόσμηση του τραπεζιού
am liebsten	περισσότερο / με μεγαλύτερη ευχαρίστηση απ‘ όλα
indisch	ινδικός
die Bandnudel, die Bandnudeln	λαζάνια
die Sahne	κρέμα γάλακτος
gießen, er gießt	[εδώ!] χύνω
braten, er brät	ψήνω
schneiden, er schneidet	κόβω
putzen, er putzt	καθαρίζω
der Steinpilz, die Steinpilze	μανιτάρια πορτσίνι
der Pfeffer	πιπέρι
das Salz, die Salze	αλάτι
das Öl, die Öle	λάδι
rühren, er rührt	ανακατεύω
dazutun, er tut dazu	προσθέτω
anders	διαφορετικός, αλλιώς
danach	κατόπιν
auffallen, es fällt auf	κάνω εντύπωση
die Flasche, die Flaschen	μπουκάλι, φιάλη
die Tafel, die Tafeln	[εδώ!] πλάκα (σοκολάτας)
die Dose, die Dosen	κουτί, κονσέρβα
das Stück, die Stücke	κομμάτι, τεμάχιο
der Einkaufszettel, die Einkaufszettel	σημείωμα για τα ψώνια
die Menge, die Mengen	ποσότητα
das Gemüsereis	ρύζι με λαχανικά
dazugeben, er gibt dazu	προσθέτω
anbraten, er brät an	τσιγαρίζω
die Pfanne, die Pfannen	τηγάνι
der Gemüseverkäufer, die Gemüseverkäufer	μανάβης, πωλητής ζαρζαβατικών
laufen, er läuft	[εδώ!] περπατάω
die Wiederholung, die Wiederholungen	επανάληψη
der Käsekuchen, die Käsekuchen	τσίζκεϊκ
mittags	το μεσημέρι, τα μεσημέρια
zum Schluss	στο τέλος
mitnehmen, er nimmt mit	παίρνω μαζί (μου)
die Geschichte, die Geschichten	ιστορία
vergessen, er vergisst	ξεχνάω
der Informationstext, die Informationstexte	πληροφοριακό κείμενο
der Elektriker, die Elektriker	ηλεκτρολόγος
die Büroarbeit, die Büroarbeiten	δουλειά γραφείου
das Gerät, die Geräte	συσκευή
das Hostel, die Hostels	χόστελ, ξενώνας για νέους
die Mappe, die Mappen	ντοσιέ, φάκελος
das Bewerbungsgespräch, die Bewerbungsgespräche	συνέντευξη
der Wortigel, die Wortigel	πλέγμα λέξεων
der Quark	πηχτό γιαούρτι
das Esszimmer, die Esszimmer	τραπεζαρία
die Blume, die Blumen	λουλούδι, άνθος
das Berufsrätsel, die Berufsrätsel	Μάντεψε το επάγγελμα!
die Visitenkarte, die Visitenkarten	καρτ βιζίτ, επαγγελματική κάρτα
der Redakteur, die Redakteure / die Redakteurin,	συντάκτης, συντάκτρια
übergeben, er übergibt	δίνω (στα χέρια κάποιου), παραδίδω
die Wartezeit, die Wartezeiten	χρόνος αναμονής
nerven, er nervt	εκνευρίζω
gar nicht	καθόλου
zweit-	δεύτερος, δεύτερη, δεύτερο
rein	μέσα [κίνηση!]
raus	έξω [κίνηση!]
viert-	τέταρτος, τέταρτη, τέταρτο
fünft-	πέμπτος, πέμπτη, πέμπτο
Tür auf	πόρτα ανοίγει
nächst-	επόμενος, επόμενη, επόμενο
Tag, Herr Doktor!	Καλημέρα, γιατρέ!
die Emotion, die Emotionen	συναίσθημα
gesund	1. υγιής, 2. υγιεινός
slacken, er slackt	ισορροπώ (πάνω σε ελαστική λωρίδα)
der Trendsport	σπορ της μόδας
das Band, die Bänder	[εδώ!] λωρίδα, κορδέλα
die Slackline, die Slacklines	ελαστική λωρίδα
elastisch	ελαστικός
der Zentimeter, die Zentimeter	εκατοστό (του μέτρου)
breit	φαρδύς, πλατύς
der Trick, die Tricks	κόλπο
der Arm, die Arme	χέρι
das Bein, die Beine	πόδι
der Bauch, die Bäuche	κοιλιά
der Rücken, die Rücken	πλάτη
üben, er übt	ασκούμαι, ασκώ
die Balance	ισορροπία
die Konzentration	συγκέντρωση
die Koordination	συντονισμός
der Color Run, die Color Runs	χρωματοδρομία
das Laufen	τροχάδην, τρέξιμο
der Läufer, die Läufer / die Läuferin, die Läuferinnen	δρομέας
tragen, er trägt	[εδώ!] φορώ
weiß	λευκός, άσπρος
das T-Shirt, die T-Shirts	αθλητικό φανελάκι
der Zuschauer, die Zuschauer / die Zuschauerin,	θεατής
werfen, er wirft	ρίχνω
die Farbe, die Farben	1. χρώμα, 2. μπογιά
das Ziel	[εδώ!] τερματισμός
das Finish Festival	γιορτή του τερματισμού
der Sportler, die Sportler / die Sportlerin,	αθλητής, αθλήτρια
wollen, er will, er wollte	θέλω
das Herz, die Herzen	καρδιά
die Lunge, die Lungen	πνεύμονας
die Barre	μπάρα
die Ballettstange, die Ballettstangen	μπάρα μπαλέτου
der Fan, die Fans	οπαδός
die Bewegung, die Bewegungen	κίνηση
intensiv	εντατικός, έντονος
der Hals, die Hälse	λαιμός
die Schulter, die Schultern	ώμος
die Sorge, die Sorgen (Keine Sorge!)	έγνοια, φροντίδα (Μην ανησυχείς/ανησυχείτε!)
die Sportverletzung, die Sportverletzungen	αθλητικό τραύμα
das Eishockey	χόκεϊ επί πάγου
das Knie, die Knie	γόνατο
die Verletzung, die Verletzungen	τραυματισμός, τραύμα
der Eishockeyspieler, die Eishockeyspieler	παίκτης χόκεϊ επί πάγου
der Fitnesstrainer, die Fitnesstrainer /	γυμναστής, γυμνάστρια
gegen	κατά
der Besucher, die Besucher / die Besucherin,	επισκέπτης, επισκέπτρια
aktiv	ενεργός, δραστήριος
die Messe, die Messen	έκθεση
faul	τεμπέλης
die Gesundheit	υγεία
der Aussteller, die Aussteller / die Ausstellerin,	εκθέτης, εκθέτρια
das Fitnessprogramm, die Fitnessprogramme	πρόγραμμα καλής φυσικής κατάστασης
boxen, er boxt (das Boxen)	πυγμαχώ (πυγμαχία, μποξ)
das Zumba	ζούμπα [λατινοαμερικάνικη αεροβική γυμναστική]
die Trainingsmöglichkeit, die Trainingsmöglichkeiten	δυνατότητα/ευκαιρία προπόνησης
alle	όλοι, όλες, όλα
der Sporttrend, die Sporttrends	μόδα στο χώρο των σπορ
die  Fitness-App, die Fitness-Apps	ηλεκτρονική εφαρμογή για γυμναστική
gleich	[εδώ!] αμέσως, επιτόπου
die Überschrift, die Überschriften	επικεφαλίδα
die Sportart, die Sportarten	άθλημα
die Sportsprache, die Sportsprachen	γλώσσα των σπορ
der Körperteil, die Körpertreile	μέλος του σώματος
die Dauer	διάρκεια
das Skateboard, die Skateboards	σκέιτμπορντ
die Knieschmerzen (Plural!)	πόνοι στο γόνατο
der Arzttermin, die Arzttermine	ραντεβού στο γιατρό
die Chipkarte, die Chipkarten	ηλεκτρονική κάρτα
dabeihaben, er hat dabei, er hatte dabei	έχω μαζί μου
das Wartezimmer, die Wartezimmer	αίθουσα αναμονής
Platz nehmen, er nimmt Platz	παίρνω θέση, κάθομαι
rufen, er ruft	φωνάζω
die Krankenversicherung, die Krankenversicherungen	ιατροφαρμακευτική ασφάλιση
die Arztkosten (Plural!)	ιατρικά έξοδα, ιατρικές δαπάνες
der/die Versicherte, die Versicherten	ασφαλισμένος, ασφαλισμένη
die Gesundheitskarte, die Gesundheitskarten	κάρτα υγείας/ασφάλισης
die Apotheke, die Apotheken	φαρμακείο
manche	ορισμένοι/-ένες/-ένα
die E-Card, die E-Cards	κάρτα ασφάλισης [Αυστρία]
die Versichertenkarte, die Versichertenkarten	κάρτα ασφάλισης [Ελβετία]
passieren, es passiert, es ist passiert	συμβαίνει
der Unfall, die Unfälle	ατύχημα
hinfallen, er fällt hin	πέφτω κάτω
schlimm	σοβαρός, δυσάρεστος
ein paar	μερικοί/-ές/-ά
der Schritt, die Schritte	βήμα
schlecht (mir war schlecht)	κακός, άσχημος (ένιωθα άσχημα)
aufwachen, er wacht auf	ξυπνώ
wehtun, es tut weh	πονά
fliegen, er fliegt	πετάω
die Untersuchung, die Untersuchungen	εξέταση
hinlegen (sich), er legt (sich) hin	ξαπλώνω
krankschreiben, er schreibt krank	δίνω αναρρωτική άδεια
sollen, er soll, er sollte	πρέπει [προτροπή, συμβουλή]
dick	χοντρός, [εδώ!] πρησμένος
die Verstauchung, die Verstauchungen	στραμπούληγμα
hochlegen, er legt hoch	ακουμπώ/βάζω ψηλά
auftragen, er trägt auf	βάζω (αλοιφή), αλοίφω
dreimal	τρεις φορές
die Sportsalbe, die Sportsalben	αλοιφή για αθλητές
die Tablette, die Tabletten	χάπι
der Schmerz, die Schmerzen	πόνος
die Salbe, die Salben	αλοιφή
Gute Besserung!	Περαστικά!
die Rollenkarte, die Rollenkarten	κάρτα που περιγράφει κάποιο ρόλο
die Kopfschmerzen (Plural!)	πονοκέφαλος
ausruhen (sich), er ruht sich aus	ξεκουράζομαι, ησυχάζω
die Halsschmerzen (Plural!)	πονόλαιμος
der Husten	βήχας
die Halstablette, die Halstabletten	ταμπλέτα για τον πονόλαιμο
der Hustensaft, die Hustensäfte	σιρόπι για τον βήχα
das Handball	χάντμπολ, χειροσφαίριση
wiederkommen, er kommt wieder	ξανάρχομαι
die Laune (gute Laune)	διάθεση (ευδιαθεσία)
die Erkältung, die Erkältungen	κρυολόγημα
der Titel, die Titel	τίτλος
der Profi, die Profis	επαγγελματίας
die Entspannung	χαλάρωση, ξεκούραση
besser	καλύτερα
die Ernährung	διατροφή
der Schnupfen	συνάχι
die Sauna, die Saunas/Saunen	σάουνα
der Körper, die Körper	σώμα
das Immunsystem, die Immunsysteme	ανοσοποιητικό σύστημα
müde	κουρασμένος
spazieren gehen, er geht spazieren	πηγαίνω περίπατο
die Hauptsache, die Hauptsachen	το κυριότερο
die Energie, die Energien	ενέργεια
ausmachen, er macht aus	[εδώ!] κλείνω (συσκευή)
die Nase, die Nasen	μύτη
besonders	ιδιαίτερα
der Brokkoli	μπρόκολο
das Vitamin, die Vitamine	βιταμίνη
die Anweisung, die Anweisungen	οδηγία
der Ratschlag, die Ratschläge	συμβουλή
die Imperativform, die Imperativformen	τύπος προστακτικής
der Imperativsatz, die Imperativsätze	πρόταση σε προστακτική
die Ausnahme, die Ausnahmen	εξαίρεση
der Prospekt, die Prospekte	προσπέκτ, διαφημιστικό/ενημερωτικό έντυπο
die Verspätung, die Verspätungen	καθυστέρηση
der Silbenanfang	αρχή της συλλαβής
der Wortanfang	αρχή της λέξης
das Silbenende	τέλος της συλλαβής
das Wortende	τέλος της λέξης
der Sporttermin, die Sporttermine	ραντεβού για σπορ
einpacken, er packt ein	πακετάρω, ετοιμάζω
die Sportsachen (Plural!)	πράγματα (που χρησιμοποιώ όταν κάνω σπορ)
der Sportkurs, die Sportkurse	μάθημα για κάποιο σπορ
weglegen, er legt weg	βάζω στην άκρη
das Ballett	μπαλέτο
bewegen, er bewegt	κινώ
Venedig	Βενετία
vorher	προηγουμένως
die Gondel, die Gondeln	γόνδολα
natürlich	φυσικά
die Rückenschmerzen (Plural!)	πόνοι στην πλάτη
die Gymnastik	γυμναστική
Was fehlt dir denn?	Τι έχεις;
die Bauchschmerzen (Plural!)	κοιλόπονος
der Yogalehrer, die Yogalehrer / die Yogalehrerin,	καθηγητής/καθηγήτρια γιόγκα
das Studio, die Studios	στούντιο
die Popmusik	μουσική ποπ
die Krankheit, die Krankheiten	αρρώστια, ασθένεια
voll	πλήρης, [εδώ!] εντελώς
die Kleidung	ενδυμασία, ρούχα, ρουχισμός
der Dresscode, die Dresscodes	ενδυματολογικός κώδικας
der Anzug, die Anzüge	κοστούμι
der Pullover, die Pullover	πουλόβερ
die Jeans (Plural!)	τζιν
das Hemd, die Hemden	πουκάμισο
die Krawatte, die Krawatten	γραβάτα
schick	κομψός, σικ
der Schuh, die Schuhe	παπούτσι
die Sandale, die Sandalen	σανδάλι
die Shorts (Plural!)	σορτ, κοντό παντελόνι
das Jackett, die Jacketts	σακάκι
der Lederschuh, die Lederschuhe	δερμάτινο παπούτσι
die Hose, die Hosen	παντελόνι
das Outfit, die Outfits	ντύσιμο, εμφάνιση
farbig	χρωματιστός
der Projektmanager, die Projektmanager /	διευθυντής/διευθύντρια έργου
das Lieblingsoutfit, die Lieblingsoutfits	αγαπημένο ντύσιμο
blau	μπλε
der Turnschuh, die Turnschuhe	αθλητικό παπούτσι
die Bluse, die Blusen	πουκαμίσα
der Blazer, die Blazer	σακάκι, μπλέιζερ
der Hosenanzug, die Hosenanzüge	(γυναικείο) κοστούμι
das Kleid, die Kleider	φόρεμα
der Rock, die Röcke	φούστα
die Lieblingsfarbe, die Lieblingsfarben	αγαπημένο χρώμα
gelb	κίτρινο, κίτρινος
sportlich	αθλητικός
rot	κόκκινο, κόκκινος
grün	πράσινο, πράσινος
braun	καφέ
orange	πορτοκαλί
türkis	τυρκουάζ
beige	μπεζ
lila	μοβ, λιλά
rosa	ροζ
grau	γκρι, γκρίζος
bunt	πολύχρωμος
der Mantel, die Mäntel	πανωφόρι, παλτό
der Stiefel, die Stiefel	μπότα
der Hut, die Hüte	καπέλο
unmöglich	[εδώ!] απαράδεκτος
altmodisch	παλιομοδίτικος
der Stil	στιλ, ύφος
die Modefrage, die Modefragen	ερώτηση σχετική με τη μόδα
der Star, die Stars	σταρ, αστέρας
die Größe, die Größen	μέγεθος
der Ärmel, die Ärmel	μανίκι
gefallen, es gefällt	αρέσω
anprobieren, er probiert an	προβάρω, δοκιμάζω
der Sale, die Sales	προσφορά
sicher	σίγουρος, βέβαιος
die Mode, die Moden	μόδα
das Lieblingskleidungsstück, die Lieblingskleidungsstücke	αγαπημένο ρούχο
interessieren (sich), er interessiert (sich)	ενδιαφέρομαι
aktuell	[εδώ!] αυτή την εποχή
eigen-	δικός/-ή/-ό
das Kleidungsstück, die Kleidungsstücke	ρούχο
der Interviewer, die Interviewer / die Interviewerin,	δημοσιογράφος (που παίρνει συνέντευξη)
benutzen, er benutzt	χρησιμοποιώ
nachfragen, er fragt nach, er hat nachgefragt	ρωτώ (να μάθω)
die Berufskleidung	επαγγελματική ενδυμασία
bequem	άνετος
die Lieblingskleidung	αγαπημένο ντύσιμο
die Geburtstagsparty, die Geburtstagspartys	πάρτι γενεθλίων
der Mix	μείγμα
die Übergröße, die Übergrößen	μεγάλο μέγεθος
stehen, es steht	[εδώ!] πάει, ταιριάζει, στέκεται [ρούχο]
pink	ροζ
der Demonstrativ-Artikel, die Demonstrativ-Artikel	δεικτικό (δεικτική αντωνυμία)
die Jahreszeit, die Jahreszeiten	εποχή (του χρόνου)
das Fest, die Feste	γιορτή
das Stadtgartenfest	γιορτή στο πάρκο (της πόλης)
das Seenachtsfest	νυχτερινή γιορτή στη λίμνη
direkt an	δίπλα, πάνω σε...
der Bodensee	λίμνη της Κωνσταντίας
feiern, er feiert	γιορτάζω
der Juni	Ιούνιος
der Schluss (zum Schluss)	τέλος (στο τέλος)
der Festplatz, die Festplätze	χώρος γιορτής
der/die Erwachsene, die Erwachsenen	ενήλικος
das Puppentheater, die Puppentheater	κουκλοθέατρο
regional	τοπικός
die Kletterwand, die Kletterwände	τοίχος αναρρίχησης
die Spargelkönigin, die Spargelköniginnen	βασίλισσα του σπαραγγιού
die Spargelhauptstadt	πρωτεύουσα του σπαραγγιού
südwestlich (von)	νοτιοδυτικά (του/της...)
der Spargel, die Spargel	σπαράγγι
berühmt	φημισμένος, ξακουστός
die Spargelsaison, die Spargelsaisons	περίοδος συγκομιδής των σπαραγγιών
der Mai	Μάιος
die Juniwoche, die Juniwochen	εβδομάδα του Ιουνίου
das Spargelfest, die Spargelfeste	γιορτή του σπαραγγιού
am besten	πιο καλά απ‘ όλα
das Sommerfest, die Sommerfeste	καλοκαιρινή γιορτή
der Ort, die Orte	μέρος, τόπος
die Landkarte, die Landkarten	χάρτης
nördlich	βόρειος, βόρεια
östlich	ανατολικός, ανατολικά
südlich	νότιος, νότια
westlich	δυτικός, δυτικά
das Sommerfest	γιορτή του καλοκαιριού
der Rhein	Ρήνος
das Highlight, die Highlights	αποκορύφωση, highlight
das Feuerwerk, die Feuerwerke	πυροτέχνημα, καύση πυροτεχνημάτων
das Motto, die Mottos	σύνθημα, μότο
die Flamme, die Flammen	φλόγα
das Weltmusikfest, die Weltmusikfeste	παγκόσμια μουσική γιορτή
die Theater-Bühne, die Theater-Bühnen	θεατρική σκηνή
das Produkt, die Produkte	προϊόν
erwarten, er erwartet	αναμένω, περιμένω
die Parade, die Paraden	παρέλαση
die Nation, die Nationen	έθνος
der Kulturverein, die Kulturvereine	πολιτιστικός σύλλογος
der Teilnehmer, die Teilnehmer / die Teilnehmerin,	συμμετέχων, συμμετέχουσα
der Tanz, die Tänze	χορός
die Sonne, die Sonnen	ήλιος
die Feier, die Feiern	γιορτή
der August	Αύγουστος
kurz	σύντομος
das Johannisfest	γιορτή του Άη Γιάννη
meistens	τις περισσότερες φορές
die Sommerferien	θερινές διακοπές
der Fluss, die Flüsse	ποτάμι, ποταμός
der See, die Seen	λίμνη
das Weinfest, die Weinfeste	γιορτή του κρασιού
das Kirschfest, die Kirschfeste	γιορτή του κερασιού
das Erdbeerfest, die Erdbeerfeste	γιορτή της φράουλας
das Bratwurstfest, die Bratwurstfeste	γιορτή του ψητού λουκάνικου
das Wetter	καιρός [μετεωρολογία]
der Herbst	φθινόπωρο
das Würstchen, die Würstchen	λουκάνικο, λουκανικάκι
die Grillkartoffel, die Grillkartoffeln	πατάτα κατάλληλη για γκριλ
der Vegetarier, die Vegetarier / die Vegetarierin,	χορτοφάγος
werden, er wird (es wird kalt)	γίνομαι (θα κάνει κρύο)
regnen, es regnet	βρέχει
das Gewitter, die Gewitter	καταιγίδα
bewölkt	νεφελώδης, συννεφιασμένος
Mist!	Σκατά!
der Schirm, die Schirme	ομπρέλα
das Zelt, die Zelte	σκηνή, αντίσκηνο
die Wetter-App, die Wetter-Apps	εφαρμογή που πληροφορεί για τον καιρό
der Grad, die Grade	βαθμός (θερμοκρασίας)
nachts	τη νύχτα
sonnig (es ist sonnig)	ηλιόλουστος (έχει λιακάδα)
die Wolke, die Wolken	σύννεφο
das Europawetter	ο καιρός στην Ευρώπη
genauso	(ακριβώς) το ίδιο
kühl	ψυχρός
der Vergleich, die Vergleiche	σύγκριση
der Komparativ	συγκριτικός (βαθμός)
unregelmäßig	ανώμαλος
ungleich	άνισος, ανόμοιος
gleich	ίδιος, ίσος
das Tamil	ταμίλ [γλώσσα της Σρι Λάνκα]
das Rumänisch	ρουμάνικα
